feature,importance
"Population age distribution (0-14 / 60+ years, %)_45.2/3.9",0.000474051412829825
Refugees and others of concern to UNHCR (in thousands)_512.3,0.0004740454322324166
"Population age distribution (0-14 / 60+ years, %)_42.1/4.2",0.0004735240338628554
"Population age distribution (0-14 / 60+ years, %)_14.8/25.3",0.0004705792926176332
Education: Primary gross enrol ratio (f/m per 100 pop)_98.6/99.7,0.0004701548100046149
Education: Tertiary gross enrol ratio (f/m per 100 pop)_53.3/40.8,0.00046991066048712303
Agricultural production index (2004-2006=100)_95,0.00046989750735020535
Refugees and others of concern to UNHCR (in thousands)_174.2,0.00046636909751414797
Agricultural production index (2004-2006=100)_175,0.00046627694574589735
Threatened species (number)_67.5,0.0004652988791686698
International trade: Exports (million US$)_495418,0.0004635909815924533
Threatened species (number)_63.5,0.00046198939935195726
Infant mortality rate (per 1000 live births_3.4,0.00046006661133047314
Infant mortality rate (per 1000 live births_14.3,0.0004591851977875619
Energy supply per capita (Gigajoules)_77.2/45.5,0.0004582502159334376
Education: Tertiary gross enrol ratio (f/m per 100 pop)_90.6/40.3,0.0004562608732710391
Agricultural production index (2004-2006=100)_152,0.00045224515306367273
Agricultural production index (2004-2006=100)_110,0.00045073800489827813
Threatened species (number)_11.0,0.0004499930632699817
International trade: Exports (million US$)_246,0.0004499810550245346
"Pop using improved drinking water (urban/rural, %)_96.8/93.1",0.0004491027410514187
International migrant stock (000/% of total pop)_91.2/1.4,0.00044514767640095696
"Pop using improved drinking water (urban/rural, %)_93.5/88.2",0.000444898877923746
Education: Primary gross enrol ratio (f/m per 100 pop)_109.5/110.1,0.00044445332685618137
"Population age distribution (0-14 / 60+ years, %)_20.5/13.5",0.00044334354533243824
Energy supply per capita (Gigajoules)_100.0/...,0.0004416063392233003
Education: Tertiary gross enrol ratio (f/m per 100 pop)_64.6/41.8,0.0004406067251588693
Agricultural production index (2004-2006=100)_168,0.0004405056111456101
Infant mortality rate (per 1000 live births_47.2,0.0004391694240082341
Education: Secondary gross enrol ratio (f/m per 100 pop)_93.0/86.5,0.000438891955813206
Agricultural production index (2004-2006=100)_106,0.00043655299574590846
Education: Secondary gross enrol ratio (f/m per 100 pop)_125.6/120.7,0.00043514753209493516
Energy supply per capita (Gigajoules)_85.4/81.9,0.000433813053043642
Education: Tertiary gross enrol ratio (f/m per 100 pop)_76.3/54.2,0.00043274186273741113
International migrant stock (000/% of total pop)_3913.3/5.8,0.00043237856478515807
"Population age distribution (0-14 / 60+ years, %)_31.4/6.2",0.0004317232856354533
Energy supply per capita (Gigajoules)_71.8/44.8,0.0004298966865951101
Refugees and others of concern to UNHCR (in thousands)_32.7,0.0004289691280972288
"Population age distribution (0-14 / 60+ years, %)_27.4/8.6",0.00042760942154790966
"Pop using improved drinking water (urban/rural, %)_55.6/35.7",0.0004256874063367498
Infant mortality rate (per 1000 live births_15.0,0.0004256825762529663
International migrant stock (000/% of total pop)_6763.7/28.2,0.0004252221538478307
Threatened species (number)_33.2,0.00042404292761608964
"Population age distribution (0-14 / 60+ years, %)_21.6/13.6",0.0004238278981308506
Education: Tertiary gross enrol ratio (f/m per 100 pop)_16.8/8.2,0.0004223975318020758
"Population age distribution (0-14 / 60+ years, %)_17.8/22.3",0.0004208518733878359
International trade: Exports (million US$)_466,0.0004201832712565034
Threatened species (number)_42.5,0.00041996395996305016
International migrant stock (000/% of total pop)_14.9/2.9,0.0004198761478352164
Threatened species (number)_34.3,0.0004190337515312891
"Population age distribution (0-14 / 60+ years, %)_35.1/6.9",0.000415629250975293
Refugees and others of concern to UNHCR (in thousands)_0.3,0.00041508745430742503
International migrant stock (000/% of total pop)_3112.0/41.0,0.00041360214031845456
Refugees and others of concern to UNHCR (in thousands)_1.8,0.0004131055035366386
International migrant stock (000/% of total pop)_136.0/4.7,0.00041287036048104776
International migrant stock (000/% of total pop)_503.5/1.3,0.00041272755345575946
Refugees and others of concern to UNHCR (in thousands)_0.8,0.00041174866996942594
"Pop using improved drinking water (urban/rural, %)_97.0/98.1",0.00041138976732841615
Refugees and others of concern to UNHCR (in thousands)_16.2,0.0004101576090768998
International migrant stock (000/% of total pop)_382.4/1.2,0.0004089182012873134
"Population age distribution (0-14 / 60+ years, %)_26.3/10.5",0.00040890898943492454
Threatened species (number)_0.9,0.00040813280423935785
"Population age distribution (0-14 / 60+ years, %)_42.7/5.0",0.0004079717912897222
International trade: Exports (million US$)_21011,0.00040624381202491956
Refugees and others of concern to UNHCR (in thousands)_13.8,0.0004060847854399594
Threatened species (number)_33.1,0.00040280268213137917
Energy supply per capita (Gigajoules)_93.8/70.1,0.0004023547390696173
Education: Primary gross enrol ratio (f/m per 100 pop)_104.0/103.3,0.0004007435585247359
Education: Secondary gross enrol ratio (f/m per 100 pop)_89.0/89.7,0.000400074621475668
Education: Tertiary gross enrol ratio (f/m per 100 pop)_59.0/47.8,0.00039998871090770656
Refugees and others of concern to UNHCR (in thousands)_3371.4,0.00039911543777686084
Infant mortality rate (per 1000 live births_24.3,0.0003985529282411252
Education: Secondary gross enrol ratio (f/m per 100 pop)_40.1/46.5,0.000398118548595295
Refugees and others of concern to UNHCR (in thousands)_73.2,0.00039629375058872126
Refugees and others of concern to UNHCR (in thousands)_19.4,0.00039537194943839845
Education: Tertiary gross enrol ratio (f/m per 100 pop)_28.7/17.9,0.000394109598577316
International trade: Exports (million US$)_32,0.00039365303553613273
Agricultural production index (2004-2006=100)_137,0.0003928277603786527
International migrant stock (000/% of total pop)_93.9/3.8,0.0003925044644876945
Agricultural production index (2004-2006=100)_131,0.00039160140931019446
International trade: Exports (million US$)_31045,0.00039158993396100865
"Pop using improved drinking water (urban/rural, %)_28.5/17.3",0.0003893438182470278
Infant mortality rate (per 1000 live births_3.2,0.0003879958220269987
Agricultural production index (2004-2006=100)_135,0.0003875813723652515
Agricultural production index (2004-2006=100)_158,0.0003863016461689536
International trade: Exports (million US$)_2114,0.00038209714552527653
International trade: Exports (million US$)_77565,0.00037976010700311864
Threatened species (number)_20.1,0.0003776906102108332
"Pop using improved drinking water (urban/rural, %)_59.8/5.1",0.0003769835800554338
Education: Secondary gross enrol ratio (f/m per 100 pop)_98.4/99.3,0.00037412319962739753
Refugees and others of concern to UNHCR (in thousands)_44.7,0.00037409469134822764
International migrant stock (000/% of total pop)_41.4/9.9,0.00037309302065462245
International trade: Exports (million US$)_4615,0.00037234296312652326
Agricultural production index (2004-2006=100)_142,0.0003721567485561474
International trade: Exports (million US$)_33833,0.00037203722176937964
Energy supply per capita (Gigajoules)_100.0/94.9,0.00037047206808430393
Refugees and others of concern to UNHCR (in thousands)_312.5,0.0003694811715324037
International trade: Exports (million US$)_3402,0.0003669410680573733
Education: Primary gross enrol ratio (f/m per 100 pop)_78.7/81.4,0.0003668698197564211
International trade: Exports (million US$)_4875,0.00036632975941525847
Education: Secondary gross enrol ratio (f/m per 100 pop)_93.4/84.3,0.00036550613125892347
"Pop using improved drinking water (urban/rural, %)_90.8/81.5",0.00036450213942659256
Education: Secondary gross enrol ratio (f/m per 100 pop)_99.4/100.1,0.0003644324133699798
Infant mortality rate (per 1000 live births_35.2,0.0003633932179454273
Refugees and others of concern to UNHCR (in thousands)_3.1,0.00036206978238878794
International trade: Exports (million US$)_715,0.00035974144949099554
International migrant stock (000/% of total pop)_23.2/0.8,0.0003582991697712904
Refugees and others of concern to UNHCR (in thousands)_44.2,0.0003582978558391453
"Population age distribution (0-14 / 60+ years, %)_24.3/9.7",0.0003567780663901663
Education: Secondary gross enrol ratio (f/m per 100 pop)_103.5/101.1,0.0003567111137231547
Refugees and others of concern to UNHCR (in thousands)_22.1,0.00035668279269507477
Education: Primary gross enrol ratio (f/m per 100 pop)_105.1/104.4,0.0003566637207675009
International migrant stock (000/% of total pop)_23.5/62.6,0.0003565168148575666
"Population age distribution (0-14 / 60+ years, %)_34.8/6.7",0.00035649980388624
